,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
853,6.06,2.3,27.18,3.3,452000000.0,9.8754978815398,352000000.0,59.0369541084588,427000000.0,19.104009819983602
854,6.06,2.3,27.18,3.4,455000000.0,9.5788203456796,355000000.0,58.075643501296604,430000000.0,18.8685688682164
855,6.06,2.3,27.18,3.5,458000000.0,9.2589178715594,358000000.0,57.128573998749395,433000000.0,18.601601475827998
856,6.06,2.3,27.18,3.6,460000000.0,8.916339665177,360000000.0,55.772586789891,435000000.0,19.111172453377
858,6.06,2.3,27.3,3.2,448000000.0,10.309111209087,348000000.0,59.945447572173,423000000.0,19.8297122701794
859,6.06,2.3,27.3,3.3,451000000.0,10.038199368731,351000000.0,58.977470527283,426000000.0,19.625715403070302
860,6.06,2.3,27.3,3.4,454000000.0,9.7447598952238,354000000.0,58.0255497914288,429000000.0,19.3890060293267
861,6.06,2.3,27.3,3.5,457000000.0,9.4273828010061,357000000.0,57.0861195147431,432000000.0,19.1193568770354
862,6.06,2.3,27.3,3.6,459000000.0,9.0920247669561,359000000.0,55.7593240694371,434000000.0,19.6379753390451
864,6.18,1.7,26.7,3.2,457000000.0,9.9150092135716,357000000.0,66.1954239740106,432000000.0,18.7563388067618
865,6.18,1.7,26.7,3.3,460000000.0,9.5561348279886,360000000.0,64.9972106343736,435000000.0,18.4798714867717
866,6.18,1.7,26.7,3.4,463000000.0,9.1815909003332,363000000.0,63.8419756901142,438000000.0,18.1845851171286
867,6.18,1.7,26.7,3.5,466000000.0,8.7934462843528,366000000.0,62.726998387792804,441000000.0,17.8744706240007
868,6.18,1.7,26.7,3.6,469000000.0,8.3956644536108,369000000.0,61.6521299092378,444000000.0,17.555682185543603
870,6.18,1.7,26.82,3.2,456000000.0,10.084092839427,356000000.0,65.904871154153,431000000.0,19.199893529532
871,6.18,1.7,26.82,3.3,459000000.0,9.7256365517348,359000000.0,64.7268303875108,434000000.0,18.9180152500075
872,6.18,1.7,26.82,3.4,462000000.0,9.3500441242212,362000000.0,63.5875040311432,437000000.0,18.6149972823846
873,6.18,1.7,26.82,3.5,465000000.0,8.9587781924688,365000000.0,62.4839770522268,440000000.0,18.2941406615952
874,6.18,1.7,26.82,3.6,467000000.0,8.5613644092714,367000000.0,60.7664123975964,442000000.0,18.6971189512684
876,6.18,1.7,26.94,3.2,455000000.0,10.251242974999,355000000.0,65.648323652399,430000000.0,19.6530722794088
877,6.18,1.7,26.94,3.3,458000000.0,9.8933081725177,358000000.0,64.4882862311307,433000000.0,19.3661507923246
878,6.18,1.7,26.94,3.4,461000000.0,9.5168653802541,361000000.0,63.3631174965131,436000000.0,19.0558945183925
879,6.18,1.7,26.94,3.5,464000000.0,9.1228507640869,364000000.0,62.2697307980799,439000000.0,18.724993233294498
880,6.18,1.7,26.94,3.6,466000000.0,8.7340032166779,366000000.0,60.6027153675269,441000000.0,19.1377464830739
882,6.18,1.7,27.06,3.2,454000000.0,10.416603668833,354000000.0,65.42198357021,429000000.0,20.115680947332798
883,6.18,1.7,27.06,3.3,457000000.0,10.059319778439,357000000.0,64.278163048468,432000000.0,19.8241047653886
884,6.18,1.7,27.06,3.4,460000000.0,9.682213227763,360000000.0,63.165686582799,435000000.0,19.5070869814329
885,6.18,1.7,27.06,3.5,463000000.0,9.285769448391,363000000.0,62.081326333077,438000000.0,19.1667814245927
886,6.18,1.7,27.06,3.6,465000000.0,8.9042093534229,365000000.0,60.4598912931389,440000000.0,19.587944760120898
888,6.18,1.7,27.18,3.2,453000000.0,10.580267468838,353000000.0,65.222637689043,428000000.0,20.587486299894998
889,6.18,1.7,27.18,3.3,456000000.0,10.223815909031,356000000.0,64.093584428115,431000000.0,20.291690638475
890,6.18,1.7,27.18,3.4,459000000.0,9.8462447012239,359000000.0,62.9925861866369,434000000.0,19.9683954084309
891,6.18,1.7,27.18,3.5,462000000.0,9.4476598630429,362000000.0,61.9163087197459,437000000.0,19.619289981408897
892,6.18,1.7,27.18,3.6,464000000.0,9.0718391121002,364000000.0,60.3357238766462,439000000.0,20.047247317723198
894,6.18,1.7,27.3,3.2,452000000.0,10.742252154784,352000000.0,65.047505500976,427000000.0,21.068195188396
895,6.18,1.7,27.3,3.3,455000000.0,10.386896992687,355000000.0,63.932082719444,430000000.0,20.768692670723
