Ref,Val,T12,fpeak,gain,fimg,img,fhimg,himg
C101,38.06,3.5,462000000,9.11018863,362000000,59.749111,412000000,37.91206357
C101,39.055,3.5,462000000,9.110188636,362000000,59.74911098,412000000,37.91206356
C101,40.05,3.5,462000000,9.110188641,362000000,59.74911096,412000000,37.91206355
C101,41.045,3.5,462000000,9.110188644,362000000,59.74911094,412000000,37.91206355
C101,42.04,3.5,462000000,9.110188649,362000000,59.74911092,412000000,37.91206354
C101,43.035,3.5,462000000,9.110188653,362000000,59.74911091,412000000,37.91206353
C101,44.03,3.5,462000000,9.110188656,362000000,59.74911089,412000000,37.91206353
C101,45.025,3.5,462000000,9.11018866,362000000,59.74911088,412000000,37.91206352
C101,46.02,3.5,462000000,9.110188664,362000000,59.74911086,412000000,37.91206352
C101,47.015,3.5,462000000,9.110188667,362000000,59.74911085,412000000,37.91206351
C101,48.01,3.5,462000000,9.110188671,362000000,59.74911084,412000000,37.91206351
C101,49.005,3.5,462000000,9.110188674,362000000,59.74911083,412000000,37.9120635
C101,50,3.5,462000000,9.110188677,362000000,59.74911081,412000000,37.9120635
C101,0.25,3,448000000,10.7298808,348000000,65.89430147,398000000,37.85668361
C101,1.245,3,448000000,10.72991559,348000000,65.89421427,398000000,37.85666122
C101,2.24,3,448000000,10.72991948,348000000,65.89420454,398000000,37.85665872
C101,3.235,3,448000000,10.72992097,348000000,65.89420079,398000000,37.85665776
C101,4.23,3,448000000,10.72992176,348000000,65.89419881,398000000,37.85665725
C101,5.225,3,448000000,10.72992225,348000000,65.89419758,398000000,37.85665693
C101,6.22,3,448000000,10.72992258,348000000,65.89419674,398000000,37.85665672
C101,7.215,3,448000000,10.72992283,348000000,65.89419614,398000000,37.85665656
C101,8.21,3,448000000,10.72992301,348000000,65.89419568,398000000,37.85665645
C101,9.205,3,448000000,10.72992315,348000000,65.89419532,398000000,37.85665635
C101,10.2,3,448000000,10.72992327,348000000,65.89419503,398000000,37.85665628
C101,11.195,3,448000000,10.72992336,348000000,65.8941948,398000000,37.85665622
C101,12.19,3,448000000,10.72992344,348000000,65.8941946,398000000,37.85665617
C101,13.185,3,448000000,10.72992351,348000000,65.89419443,398000000,37.85665613
C101,14.18,3,448000000,10.72992357,348000000,65.89419428,398000000,37.85665609
C101,15.175,3,448000000,10.72992362,348000000,65.89419416,398000000,37.85665606
C101,16.17,3,448000000,10.72992366,348000000,65.89419405,398000000,37.85665603
C101,17.165,3,448000000,10.7299237,348000000,65.89419395,398000000,37.856656
C101,18.16,3,448000000,10.72992374,348000000,65.89419386,398000000,37.85665598
C101,19.155,3,448000000,10.72992377,348000000,65.89419378,398000000,37.85665596
C101,20.15,3,448000000,10.72992379,348000000,65.89419371,398000000,37.85665594
C101,21.145,3,448000000,10.72992382,348000000,65.89419365,398000000,37.85665592
C101,22.14,3,448000000,10.72992384,348000000,65.89419359,398000000,37.85665591
C101,23.135,3,448000000,10.72992386,348000000,65.89419354,398000000,37.8566559
C101,24.13,3,448000000,10.72992388,348000000,65.89419349,398000000,37.85665588
C101,25.125,3,448000000,10.7299239,348000000,65.89419344,398000000,37.85665587
C101,26.12,3,448000000,10.72992392,348000000,65.8941934,398000000,37.85665586
C101,27.115,3,448000000,10.72992393,348000000,65.89419336,398000000,37.85665585
C101,28.11,3,448000000,10.72992395,348000000,65.89419333,398000000,37.85665584
C101,29.105,3,448000000,10.72992396,348000000,65.89419329,398000000,37.85665583
C101,30.1,3,448000000,10.72992397,348000000,65.89419327,398000000,37.85665583
C101,31.095,3,448000000,10.72992398,348000000,65.89419323,398000000,37.85665582
C101,32.09,3,448000000,10.72992399,348000000,65.89419321,398000000,37.85665581
C101,33.085,3,448000000,10.729924,348000000,65.89419318,398000000,37.8566558
C101,34.08,3,448000000,10.72992401,348000000,65.89419316,398000000,37.8566558
C101,35.075,3,448000000,10.72992402,348000000,65.89419313,398000000,37.85665579
C101,36.07,3,448000000,10.72992403,348000000,65.89419311,398000000,37.85665579
