,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
183,26.7,6.3,26.7,2.5,434000000,11.797710593028,334000000,72.358797848721
184,26.7,6.3,26.7,2.6,437000000,11.559007511535,337000000,70.815758817115
186,26.7,6.3,26.82,2.2,424000000,12.607685200244,324000000,77.106829479371
187,26.7,6.3,26.82,2.3,427000000,12.392851263879,327000000,75.243343330281
188,26.7,6.3,26.82,2.4,430000000,12.171679837219,330000000,73.524646492573
189,26.7,6.3,26.82,2.5,433000000,11.943178363704,333000000,71.926856049737
190,26.7,6.3,26.82,2.6,436000000,11.706091068113,336000000,70.430966204396
192,26.7,6.3,26.94,2.2,423000000,12.750853022857,323000000,76.547789668876
193,26.7,6.3,26.94,2.3,426000000,12.536562682446,326000000,74.755721125284
194,26.7,6.3,26.94,2.4,429000000,12.316344402894,329000000,73.095890781012
195,26.7,6.3,26.94,2.5,432000000,12.089117819861,332000000,71.547264422159
196,26.7,6.3,26.94,2.6,435000000,11.853544252136,335000000,70.092866877475
198,26.7,6.3,27.06,2.2,422000000,12.894475997801,322000000,76.056424064058
199,26.7,6.3,27.06,2.3,425000000,12.680740871727,325000000,74.326536413407
200,26.7,6.3,27.06,2.4,428000000,12.461484559397,328000000,72.718422029593
201,26.7,6.3,27.06,2.5,431000000,12.235529039829,331000000,71.21330116929
202,26.7,6.3,27.06,2.6,434000000,12.001442927974,334000000,69.795825997538
204,26.7,6.3,27.18,2.2,421000000,13.038122686248,321000000,75.622652407181
205,26.7,6.3,27.18,2.3,424000000,12.825043313817,324000000,73.947625775764
206,26.7,6.3,27.18,2.4,427000000,12.606851538989,327000000,72.385511390603
207,26.7,6.3,27.18,2.5,430000000,12.382259752457,330000000,70.919342995152
208,26.7,6.3,27.18,2.6,433000000,12.149731664352,333000000,69.535093389067
210,26.7,6.3,27.3,2.2,421000000,13.190034232755,321000000,76.181643513476
211,26.7,6.3,27.3,2.3,424000000,12.968947894018,324000000,74.472998363335
212,26.7,6.3,27.3,2.4,426000000,12.751969537908,326000000,72.091395052093
213,26.7,6.3,27.3,2.5,429000000,12.528956170903,329000000,70.660525533883
214,26.7,6.3,27.3,2.6,432000000,12.298179744528,332000000,69.306533304863
216,26.82,5.7,26.7,2.2,430000000,12.00457935863,330000000,86.729385775883
217,26.82,5.7,26.7,2.3,433000000,11.796092534555,333000000,83.653912654551
218,26.82,5.7,26.7,2.4,436000000,11.576366744064,336000000,80.990703295902
219,26.82,5.7,26.7,2.5,438000000,11.348132844227,338000000,76.963212914911
220,26.82,5.7,26.7,2.6,441000000,11.114767642817,341000000,75.020206182286
222,26.82,5.7,26.82,2.2,429000000,12.143989139857,329000000,85.149216373749
223,26.82,5.7,26.82,2.3,432000000,11.935728498366,332000000,82.340375296938
224,26.82,5.7,26.82,2.4,435000000,11.716514631031,335000000,79.874893877863
225,26.82,5.7,26.82,2.5,437000000,11.493948861585,337000000,76.152416550868
226,26.82,5.7,26.82,2.6,440000000,11.263059204527,340000000,74.306439181509
228,26.82,5.7,26.94,2.2,428000000,12.284800350613,328000000,83.825963082768
229,26.82,5.7,26.94,2.3,431000000,12.07659338677,331000000,81.225258395381
230,26.82,5.7,26.94,2.4,434000000,11.857686599188,334000000,78.917532308175
231,26.82,5.7,26.94,2.5,436000000,11.639550974048,336000000,75.445687906277
232,26.82,5.7,26.94,2.6,439000000,11.411003475505,339000000,73.681447892803
234,26.82,5.7,27.06,2.2,427000000,12.4273750521,327000000,82.699346820193
235,26.82,5.7,27.06,2.3,430000000,12.219074563188,330000000,80.265802392144
236,26.82,5.7,27.06,2.4,432000000,12.000785571872,332000000,76.661038175472
237,26.82,5.7,27.06,2.5,435000000,11.785170263672,335000000,74.825197377898
238,26.82,5.7,27.06,2.6,438000000,11.558871920736,338000000,73.131004756198
240,26.82,5.7,27.18,2.2,426000000,12.572056403043,326000000,81.727615238671
241,26.82,5.7,27.18,2.3,429000000,12.363546919994,329000000,79.431737328635
242,26.82,5.7,27.18,2.4,432000000,12.144736603874,332000000,77.361062770139
243,26.82,5.7,27.18,2.5,434000000,11.930987155423,334000000,74.277405064507
244,26.82,5.7,27.18,2.6,437000000,11.706896380787,337000000,72.644143679132
246,26.82,5.7,27.3,2.2,425000000,12.719153779329,325000000,80.881149531461
247,26.82,5.7,27.3,2.3,428000000,12.510360015807,328000000,78.701069049988
248,26.82,5.7,27.3,2.4,431000000,12.291405558892,331000000,76.722315819233
249,26.82,5.7,27.3,2.5,433000000,12.077110921305,333000000,73.791778628777
250,26.82,5.7,27.3,2.6,436000000,11.855251214522,336000000,72.212227386507
252,26.82,5.82,26.7,2.2,429000000,12.109846094662,329000000,84.352946863216
253,26.82,5.82,26.7,2.3,432000000,11.90045422483,332000000,81.623606762708
254,26.82,5.82,26.7,2.4,435000000,11.680418811145,335000000,79.220209614866
255,26.82,5.82,26.7,2.5,438000000,11.448873420832,338000000,77.068234891635
256,26.82,5.82,26.7,2.6,440000000,11.205434150673,340000000,73.772710075006
258,26.82,5.82,26.82,2.2,428000000,12.25044520076,328000000,83.063885283342
259,26.82,5.82,26.82,2.3,431000000,12.041228255591,331000000,80.536307658924
260,26.82,5.82,26.82,2.4,434000000,11.82166129411,334000000,78.286149145765
261,26.82,5.82,26.82,2.5,437000000,11.590826191816,337000000,76.253786364878
262,26.82,5.82,26.82,2.6,439000000,11.353636537776,339000000,73.162624533898
264,26.82,5.82,26.94,2.2,427000000,12.39266763464,327000000,81.96944460062
265,26.82,5.82,26.94,2.3,430000000,12.183457967348,330000000,79.603191428214
266,26.82,5.82,26.94,2.4,433000000,11.964160800095,333000000,77.477961799551
267,26.82,5.82,26.94,2.5,436000000,11.733804288117,336000000,75.544647600373
268,26.82,5.82,26.94,2.6,438000000,11.501476514433,338000000,72.62638189272
270,26.82,5.82,27.06,2.2,426000000,12.536849705253,326000000,81.027976731725
271,26.82,5.82,27.06,2.3,429000000,12.327509613377,329000000,78.794043350431
272,26.82,5.82,27.06,2.4,432000000,12.108311490038,332000000,76.772916611585
273,26.82,5.82,27.06,2.5,435000000,11.878226637048,335000000,74.923176767336
274,26.82,5.82,27.06,2.6,437000000,11.649165120579,337000000,72.153001353936
276,26.82,5.82,27.18,2.2,425000000,12.683291866017,325000000,80.209960974404
277,26.82,5.82,27.18,2.3,428000000,12.473721509202,328000000,78.086920563442
278,26.82,5.82,27.18,2.4,431000000,12.254487596493,331000000,76.154156149017
279,26.82,5.82,27.18,2.5,434000000,12.024500174098,334000000,74.376060402587
280,26.82,5.82,27.18,2.6,436000000,11.796851478502,336000000,71.73382732736
