,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
32,5.7,26.7,2.3,2.4,433000000,11.163362099175,333000000,74.661655717027
33,5.7,26.7,2.3,2.5,436000000,10.967769414284,336000000,72.818315319494
34,5.7,26.7,2.3,2.6,439000000,10.760623576553,339000000,71.121848342441
36,5.7,26.82,1.7,2.2,431000000,12.601787831842,331000000,93.295419028905
37,5.7,26.82,1.7,2.3,434000000,12.354477859647,334000000,89.495559844447
38,5.7,26.82,1.7,2.4,437000000,12.09575585738,337000000,86.288180535236
39,5.7,26.82,1.7,2.5,439000000,11.837492845815,339000000,81.460546263
40,5.7,26.82,1.7,2.6,442000000,11.570798334027,342000000,79.245342464578
42,5.7,26.82,1.82,2.2,430000000,12.461646910184,330000000,89.322651000631
43,5.7,26.82,1.82,2.3,433000000,12.231046235532,333000000,86.058410511224
44,5.7,26.82,1.82,2.4,436000000,11.989496735557,336000000,83.246438080974
45,5.7,26.82,1.82,2.5,439000000,11.736128450808,339000000,80.772456443939
46,5.7,26.82,1.82,2.6,441000000,11.478523583062,341000000,76.958090276955
48,5.7,26.82,1.94,2.2,429000000,12.289412731937,329000000,85.929177932259
49,5.7,26.82,1.94,2.3,432000000,12.07444503106,332000000,83.065515598247
50,5.7,26.82,1.94,2.4,435000000,11.849006619849,335000000,80.556524802177
51,5.7,26.82,1.94,2.5,438000000,11.612153293919,338000000,78.319334221395
52,5.7,26.82,1.94,2.6,441000000,11.362756296494,341000000,76.29584333933
54,5.7,26.82,2.06,2.2,428000000,12.092642243054,328000000,82.973834221366
55,5.7,26.82,2.06,2.3,431000000,11.892265034189,331000000,80.417132185965
56,5.7,26.82,2.06,2.4,434000000,11.681898431063,334000000,78.146230577614
57,5.7,26.82,2.06,2.5,437000000,11.460541805131,337000000,76.099186167051
58,5.7,26.82,2.06,2.6,440000000,11.227009468975,340000000,74.231260773681
60,5.7,26.82,2.18,2.2,427000000,11.877401443794,327000000,80.358622164016
61,5.7,26.82,2.18,2.3,430000000,11.690624932458,330000000,78.043308927438
62,5.7,26.82,2.18,2.4,433000000,11.49433475205,333000000,75.963858541722
63,5.7,26.82,2.18,2.5,436000000,11.287489790172,336000000,74.072588506164
64,5.7,26.82,2.18,2.6,439000000,11.068863723346,339000000,72.334125284481
66,5.7,26.82,2.3,2.2,426000000,11.648556532498,326000000,78.014887758629
67,5.7,26.82,2.3,2.3,429000000,11.474454501518,329000000,75.893836211408
68,5.7,26.82,2.3,2.4,432000000,11.29130251076,332000000,73.971418153642
69,5.7,26.82,2.3,2.5,435000000,11.098032855362,335000000,72.209956832389
70,5.7,26.82,2.3,2.6,438000000,10.893393062806,338000000,70.580831386982
72,5.7,26.94,1.7,2.2,430000000,12.767096288455,330000000,91.266664667625
73,5.7,26.94,1.7,2.3,433000000,12.518080280062,333000000,87.844919764149
74,5.7,26.94,1.7,2.4,436000000,12.257986143366,336000000,84.910602823397
75,5.7,26.94,1.7,2.5,438000000,11.997518207768,338000000,80.47997758597
76,5.7,26.94,1.7,2.6,441000000,11.73254128019,341000000,78.389382510109
78,5.7,26.94,1.82,2.2,429000000,12.616590324117,329000000,87.693286777194
79,5.7,26.94,1.82,2.3,432000000,12.385223872389,332000000,84.708583527061
