,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
402,26.82,6.3,26.82,1,387000000,14.701113475508,287000000,110.803625990339
403,26.82,6.3,26.82,1.1,390000000,14.581285626657,290000000,119.031392815287
404,26.82,6.3,26.82,1.2,393000000,14.436945627045,293000000,118.199617518695
405,26.82,6.3,26.82,1.3,396000000,14.273462183855,296000000,109.516393900175
406,26.82,6.3,26.82,1.4,400000000,14.108424355782,300000000,106.665940877213
408,26.82,6.3,26.94,1,386000000,14.881611473846,286000000,115.884775053086
409,26.82,6.3,26.94,1.1,389000000,14.749092906343,289000000,122.574392029083
410,26.82,6.3,26.94,1.2,392000000,14.59386607999,292000000,114.91462457626
411,26.82,6.3,26.94,1.3,395000000,14.421288292483,295000000,105.801808295718
412,26.82,6.3,26.94,1.4,399000000,14.279472802701,299000000,103.304680749924
414,26.82,6.3,27.06,1,385000000,15.059938216168,285000000,121.663967467398
415,26.82,6.3,27.06,1.1,388000000,14.914114430503,288000000,121.268513646573
416,26.82,6.3,27.06,1.2,391000000,14.747528796217,291000000,110.647654517517
417,26.82,6.3,27.06,1.3,395000000,14.597939593334,295000000,107.560263545501
418,26.82,6.3,27.06,1.4,398000000,14.452869543471,298000000,100.646022959509
420,26.82,6.3,27.18,1,384000000,15.234342682051,284000000,125.145687521841
421,26.82,6.3,27.18,1.1,387000000,15.074578085634,287000000,116.680063429694
422,26.82,6.3,27.18,1.2,391000000,14.918060320428,291000000,112.819351006985
423,26.82,6.3,27.18,1.3,394000000,14.781732766151,294000000,104.497499609522
424,26.82,6.3,27.18,1.4,397000000,14.627992667836,297000000,98.507345730272
426,26.82,6.3,27.3,1,383000000,15.40250116314,283000000,122.76347432884
427,26.82,6.3,27.3,1.1,387000000,15.240430866238,287000000,118.943546439748
428,26.82,6.3,27.3,1.2,390000000,15.113627338427,290000000,109.201519432369
429,26.82,6.3,27.3,1.3,393000000,14.96666920969,293000000,102.043820311307
430,26.82,6.3,27.3,1.4,396000000,14.803852864673,296000000,96.742184164596
432,26.94,5.7,26.7,1,392000000,13.788453354733,292000000,89.044897853084
433,26.94,5.7,26.7,1.1,396000000,13.694107375526,296000000,89.369515971412
