,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
207,5.7,27.3,2.18,1.3,396000000,13.741565420957,296000000,115.938450801677
208,5.7,27.3,2.18,1.4,399000000,13.62404199507,299000000,108.323721729101
210,5.7,27.3,2.3,1,385000000,13.642330313666,285000000,113.254861196563
211,5.7,27.3,2.3,1.1,389000000,13.567988661126,289000000,115.037018981876
212,5.7,27.3,2.3,1.2,392000000,13.480836471447,292000000,117.054592850637
213,5.7,27.3,2.3,1.3,395000000,13.381968940266,295000000,110.339329352571
214,5.7,27.3,2.3,1.4,398000000,13.273298304605,298000000,102.167147043573
216,5.82,26.7,1.7,1,394000000,14.744924591212,294000000,86.118262544782
217,5.82,26.7,1.7,1.1,397000000,14.659464862656,297000000,88.744877558367
218,5.82,26.7,1.7,1.2,400000000,14.542254852225,300000000,91.823129638341
219,5.82,26.7,1.7,1.3,403000000,14.398938055516,303000000,95.553186734659
220,5.82,26.7,1.7,1.4,406000000,14.234608896013,306000000,100.247837445938
222,5.82,26.7,1.82,1,393000000,14.448582461744,293000000,87.656537607213
223,5.82,26.7,1.82,1.1,396000000,14.362619634931,296000000,90.685689989109
224,5.82,26.7,1.82,1.2,399000000,14.248924239713,299000000,94.339293145988
225,5.82,26.7,1.82,1.3,402000000,14.112472701333,302000000,98.926573329431
226,5.82,26.7,1.82,1.4,405000000,13.957686580006,305000000,104.878604163623
228,5.82,26.7,1.94,1,392000000,14.13259055471,292000000,89.477928527518
229,5.82,26.7,1.94,1.1,395000000,14.046633018948,295000000,93.032720569567
230,5.82,26.7,1.94,1.2,398000000,13.936518309172,298000000,97.472608017149
231,5.82,26.7,1.94,1.3,401000000,13.806618552196,301000000,103.263431398356
232,5.82,26.7,1.94,1.4,404000000,13.660761384605,304000000,110.392492146624
234,5.82,26.7,2.06,1,391000000,13.803367956823,291000000,91.660690245541
235,5.82,26.7,2.06,1.1,394000000,13.717942873233,294000000,95.925372362829
236,5.82,26.7,2.06,1.2,397000000,13.611518233407,297000000,101.474916107684
237,5.82,26.7,2.06,1.3,400000000,13.48792348347,300000000,108.726924590976
238,5.82,26.7,2.06,1.4,403000000,13.35046507856,303000000,113.89670236321
240,5.82,26.7,2.18,1,390000000,13.465865896288,290000000,94.319725742945
241,5.82,26.7,2.18,1.1,393000000,13.38147522671,293000000,99.579227508492
242,5.82,26.7,2.18,1.2,396000000,13.278859538648,296000000,106.6431945919
243,5.82,26.7,2.18,1.3,399000000,13.161364208984,299000000,113.518370018674
244,5.82,26.7,2.18,1.4,403000000,13.051656086626,303000000,113.099639788806
246,5.82,26.7,2.3,1,389000000,13.123893927918,289000000,97.632030327095
247,5.82,26.7,2.3,1.1,392000000,13.040992085367,292000000,104.308454276818
248,5.82,26.7,2.3,1.2,395000000,12.942295486995,295000000,112.337508946586
249,5.82,26.7,2.3,1.3,399000000,12.849440704448,299000000,112.734443237838
250,5.82,26.7,2.3,1.4,402000000,12.747841255913,302000000,112.716294070386
252,5.82,26.82,1.7,1,393000000,14.970514060788,293000000,88.028578782262
253,5.82,26.82,1.7,1.1,396000000,14.870674676291,296000000,90.872372779974
254,5.82,26.82,1.7,1.2,399000000,14.740753430723,299000000,94.258732968033
255,5.82,26.82,1.7,1.3,402000000,14.586523771201,302000000,98.441990081712
256,5.82,26.82,1.7,1.4,405000000,14.413093452427,305000000,103.818670320053
258,5.82,26.82,1.82,1,392000000,14.64876459429,292000000,89.70547392729
259,5.82,26.82,1.82,1.1,395000000,14.550973372607,295000000,93.022684657272
260,5.82,26.82,1.82,1.2,398000000,14.427005787692,298000000,97.100018201616
261,5.82,26.82,1.82,1.3,401000000,14.28188621378,301000000,102.334638486194
262,5.82,26.82,1.82,1.4,404000000,14.120004241892,304000000,109.198899117023
264,5.82,26.82,1.94,1,391000000,14.310753327266,291000000,91.713118101281
265,5.82,26.82,1.94,1.1,394000000,14.215204647114,294000000,95.65861608858
266,5.82,26.82,1.94,1.2,397000000,14.096930431135,297000000,100.698844682416
267,5.82,26.82,1.94,1.3,400000000,13.960293479653,300000000,107.403148336665
268,5.82,26.82,1.94,1.4,403000000,13.809059778528,303000000,114.971797275958
270,5.82,26.82,2.06,1,390000000,13.962560498576,290000000,94.149636826184
271,5.82,26.82,2.06,1.1,393000000,13.86949739185,293000000,98.960566092227
272,5.82,26.82,2.06,1.2,396000000,13.756737304173,296000000,105.375650281442
273,5.82,26.82,2.06,1.3,399000000,13.628061665512,299000000,113.502306779963
274,5.82,26.82,2.06,1.4,403000000,13.494516830586,303000000,114.128769711796
276,5.82,26.82,2.18,1,389000000,13.608788871026,289000000,97.163059258954
277,5.82,26.82,2.18,1.1,392000000,13.518460680278,292000000,103.210315918359
278,5.82,26.82,2.18,1.2,395000000,13.411082250108,295000000,111.366658016539
279,5.82,26.82,2.18,1.3,399000000,13.295439070113,299000000,112.671017975566
280,5.82,26.82,2.18,1.4,402000000,13.186942575312,302000000,115.771709222822
282,5.82,26.82,2.3,1,388000000,13.252914875644,288000000,100.986502382286
283,5.82,26.82,2.3,1.1,391000000,13.165554459651,291000000,108.774133165664
284,5.82,26.82,2.3,1.2,395000000,13.066370560096,295000000,110.549745564051
285,5.82,26.82,2.3,1.3,398000000,12.975302760484,298000000,116.268521885664
286,5.82,26.82,2.3,1.4,401000000,12.871360445139,301000000,111.104347810255
288,5.82,26.94,1.7,1,392000000,15.194884482871,292000000,90.069709036734
289,5.82,26.94,1.7,1.1,395000000,15.079969086127,295000000,93.182130332314
290,5.82,26.94,1.7,1.2,398000000,14.936867617062,298000000,96.96077321469
291,5.82,26.94,1.7,1.3,401000000,14.771446354543,301000000,101.740332250111
292,5.82,26.94,1.7,1.4,404000000,14.588787937455,304000000,108.023715207664
294,5.82,26.94,1.82,1,391000000,14.847925748358,291000000,91.919238249146
295,5.82,26.94,1.82,1.1,394000000,14.737869383557,294000000,95.599519565265
296,5.82,26.94,1.82,1.2,397000000,14.603342659092,297000000,100.229593406506
297,5.82,26.94,1.82,1.3,400000000,14.449389801491,300000000,106.330900566705
298,5.82,26.94,1.82,1.4,403000000,14.280341819193,303000000,114.225936346985
300,5.82,26.94,1.94,1,390000000,14.48817280677,290000000,94.161963962502
301,5.82,26.94,1.94,1.1,393000000,14.382783190634,293000000,98.611686331245
302,5.82,26.94,1.94,1.2,396000000,14.256192058566,296000000,104.454352202536
303,5.82,26.94,1.94,1.3,399000000,14.112732449719,299000000,112.311723091394
304,5.82,26.94,1.94,1.4,403000000,13.956883077734,303000000,113.3405604871
306,5.82,26.94,2.06,1,389000000,14.121336915624,289000000,96.925198325986
307,5.82,26.94,2.06,1.1,392000000,14.020518817805,292000000,102.460450496501
308,5.82,26.94,2.06,1.2,395000000,13.901356690046,295000000,110.024581125249
309,5.82,26.94,2.06,1.3,398000000,13.767569754031,298000000,118.302609684171
310,5.82,26.94,2.06,1.4,402000000,13.645603184074,302000000,117.933544533974
312,5.82,26.94,2.18,1,388000000,13.751649102574,288000000,100.40685440468
313,5.82,26.94,2.18,1.1,391000000,13.655359635537,291000000,107.517353508272
314,5.82,26.94,2.18,1.2,394000000,13.543214700927,294000000,116.686245167077
315,5.82,26.94,2.18,1.3,398000000,13.436164440606,298000000,117.472758815356
316,5.82,26.94,2.18,1.4,401000000,13.324151701643,301000000,114.192981219973
318,5.82,26.94,2.3,1,387000000,13.382236161836,287000000,104.923347645541
319,5.82,26.94,2.3,1.1,390000000,13.290458048623,290000000,114.074078972933
320,5.82,26.94,2.3,1.2,394000000,13.197309879476,294000000,115.868471673816
321,5.82,26.94,2.3,1.3,397000000,13.103114421543,297000000,116.355873508843
322,5.82,26.94,2.3,1.4,400000000,12.996860544569,300000000,106.985995619675
324,5.82,27.06,1.7,1,391000000,15.416388844727,291000000,92.270001297449
325,5.82,27.06,1.7,1.1,394000000,15.285756991824,294000000,95.722977993777
326,5.82,27.06,1.7,1.2,397000000,15.129087451788,297000000,100.017271906133
327,5.82,27.06,1.7,1.3,400000000,14.952292666679,300000000,105.606769285409
328,5.82,27.06,1.7,1.4,403000000,14.760384972039,303000000,113.009487526593
330,5.82,27.06,1.82,1,390000000,15.044923043894,290000000,94.339527754041
331,5.82,27.06,1.82,1.1,393000000,14.922206529349,293000000,98.491347879547
332,5.82,27.06,1.82,1.2,396000000,14.776888519999,296000000,103.868275496968
333,5.82,27.06,1.82,1.3,399000000,14.614000376193,299000000,111.115312393126
334,5.82,27.06,1.82,1.4,403000000,14.441170570206,303000000,112.090400778514
336,5.82,27.06,1.94,1,389000000,14.664089751925,289000000,96.887412846977
337,5.82,27.06,1.94,1.1,392000000,14.548638364641,292000000,102.011278602416
338,5.82,27.06,1.94,1.2,395000000,14.413607803985,295000000,108.947220403032
339,5.82,27.06,1.94,1.3,398000000,14.263279170037,298000000,117.641162475147
340,5.82,27.06,1.94,1.4,402000000,14.12635988304,302000000,118.07660956352
342,5.82,27.06,2.06,1,388000000,14.279230151702,288000000,100.085937037784
343,5.82,27.06,2.06,1.1,391000000,14.170558180506,291000000,106.614220622881
344,5.82,27.06,2.06,1.2,394000000,14.04494741157,294000000,115.47446077103
345,5.82,27.06,2.06,1.3,398000000,13.92142672389,298000000,116.77103739538
346,5.82,27.06,2.06,1.4,401000000,13.798706640652,301000000,117.059124399362
348,5.82,27.06,2.18,1,387000000,13.894202410488,287000000,104.210081556644
349,5.82,27.06,2.18,1.1,390000000,13.791937155328,290000000,112.714927786048
350,5.82,27.06,2.18,1.2,394000000,13.681384621612,294000000,114.612544600172
351,5.82,27.06,2.18,1.3,397000000,13.578975662754,297000000,118.697604182334
352,5.82,27.06,2.18,1.4,400000000,13.463452619651,300000000,109.970127492044
354,5.82,27.06,2.3,1,386000000,13.511783991614,286000000,109.680786077536
355,5.82,27.06,2.3,1.1,389000000,13.415631354846,289000000,119.382855382526
356,5.82,27.06,2.3,1.2,393000000,13.330385796625,293000000,119.490154460105
357,5.82,27.06,2.3,1.3,396000000,13.233114145057,296000000,112.287697953445
358,5.82,27.06,2.3,1.4,399000000,13.124587488263,299000000,103.348421954163
360,5.82,27.18,1.7,1,390000000,15.632886321285,290000000,94.669461905932
361,5.82,27.18,1.7,1.1,393000000,15.485987688436,293000000,98.567734368107
362,5.82,27.18,1.7,1.2,396000000,15.315475953366,296000000,103.565020136745
363,5.82,27.18,1.7,1.3,399000000,15.127252549514,299000000,110.242615803017
364,5.82,27.18,1.7,1.4,403000000,14.949645011595,303000000,111.077564628539
366,5.82,27.18,1.82,1,389000000,15.23826358092,289000000,97.027396333846
367,5.82,27.18,1.82,1.1,392000000,15.102550419137,292000000,101.814451752428
368,5.82,27.18,1.82,1.2,395000000,14.946279964943,295000000,108.221730992522
369,5.82,27.18,1.82,1.3,399000000,14.778304911412,299000000,109.29360656579
370,5.82,27.18,1.82,1.4,402000000,14.631788889425,302000000,117.001408885635
372,5.82,27.18,1.94,1,388000000,14.837493106165,288000000,99.985476076834
373,5.82,27.18,1.94,1.1,391000000,14.711794261402,291000000,106.042841768559
374,5.82,27.18,1.94,1.2,394000000,14.56824290884,294000000,114.259919163056
375,5.82,27.18,1.94,1.3,398000000,14.434555862837,298000000,115.511892057887
376,5.82,27.18,1.94,1.4,401000000,14.297701742399,301000000,118.441691283299
378,5.82,27.18,2.06,1,387000000,14.435589022608,287000000,103.787099520023
379,5.82,27.18,2.06,1.1,390000000,14.318982293031,290000000,111.643010273496
380,5.82,27.18,2.06,1.2,394000000,14.195013133203,294000000,113.358599561556
381,5.82,27.18,2.06,1.3,397000000,14.081512162296,297000000,119.066920786326
382,5.82,27.18,2.06,1.4,400000000,13.953809200968,300000000,113.09820579954
384,5.82,27.18,2.18,1,386000000,14.036067682924,286000000,108.808629322619
385,5.82,27.18,2.18,1.1,389000000,13.927817665435,289000000,118.126099359295
386,5.82,27.18,2.18,1.2,393000000,13.830791270789,293000000,118.823321487469
387,5.82,27.18,2.18,1.3,396000000,13.723963015147,296000000,115.254380396497
388,5.82,27.18,2.18,1.4,399000000,13.604946390656,299000000,106.179655981353
390,5.82,27.18,2.3,1,385000000,13.641380990103,285000000,115.309446317113
391,5.82,27.18,2.3,1.1,389000000,13.553518421877,289000000,117.280178203527
392,5.82,27.18,2.3,1.2,392000000,13.465783164193,292000000,117.520047455523
393,5.82,27.18,2.3,1.3,395000000,13.365491413842,295000000,108.149956384938
394,5.82,27.18,2.3,1.4,398000000,13.254735689246,298000000,100.435609151969
396,5.82,27.3,1.7,1,389000000,15.841636404969,289000000,97.327032985091
397,5.82,27.3,1.7,1.1,392000000,15.678056565893,292000000,101.829756454095
398,5.82,27.3,1.7,1.2,395000000,15.493583797546,295000000,107.805618904766
399,5.82,27.3,1.7,1.3,399000000,15.332316431358,299000000,108.743775693883
400,5.82,27.3,1.7,1.4,402000000,15.164042721254,302000000,115.887827769414
402,5.82,27.3,1.82,1,388000000,15.426023220666,288000000,100.076469776359
403,5.82,27.3,1.82,1.1,391000000,15.277057775229,291000000,105.750486314148
404,5.82,27.3,1.82,1.2,395000000,15.116841257794,295000000,106.828228266311
405,5.82,27.3,1.82,1.3,398000000,14.979123791526,298000000,114.470397504772
406,5.82,27.3,1.82,1.4,401000000,14.823648901969,301000000,117.948232279569
408,5.82,27.3,1.94,1,387000000,15.007056009367,287000000,103.608163566804
409,5.82,27.3,1.94,1.1,390000000,14.870967692484,290000000,110.92424186634
410,5.82,27.3,1.94,1.2,394000000,14.742634431549,294000000,112.44471691713
411,5.82,27.3,1.94,1.3,397000000,14.614226001551,297000000,118.052307982901
412,5.82,27.3,1.94,1.4,400000000,14.470570311502,300000000,115.547631935982
414,5.82,27.3,2.06,1,386000000,14.589526608138,286000000,108.26023050721
415,5.82,27.3,2.06,1.1,390000000,14.466700573205,290000000,109.991454580733
416,5.82,27.3,2.06,1.2,393000000,14.363054638269,293000000,117.551290394029
417,5.82,27.3,2.06,1.3,396000000,14.243457890425,296000000,116.932780678815
418,5.82,27.3,2.06,1.4,399000000,14.11076467076,299000000,109.301502723953
420,5.82,27.3,2.18,1,385000000,14.176684411768,285000000,114.257014894608
421,5.82,27.3,2.18,1.1,389000000,14.079922685592,289000000,116.016898408452
422,5.82,27.3,2.18,1.2,392000000,13.982346501339,292000000,118.022897006259
423,5.82,27.3,2.18,1.3,395000000,13.871119443311,295000000,111.293391462183
424,5.82,27.3,2.18,1.4,398000000,13.748635396462,298000000,103.106815981128
426,5.82,27.3,2.3,1,385000000,13.772650432016,285000000,113.381154047374
427,5.82,27.3,2.3,1.1,388000000,13.695184487279,288000000,118.600311493079
428,5.82,27.3,2.3,1.2,391000000,13.603616203998,291000000,113.657987110088
429,5.82,27.3,2.3,1.3,394000000,13.500361313394,294000000,104.764455287054
430,5.82,27.3,2.3,1.4,397000000,13.387422306796,297000000,98.066850780781
432,5.94,26.7,1.7,1,393000000,14.942778052027,293000000,88.751308403692
