,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
375,26.82,6.18,26.94,3.5,462000000,9.1005629499043,362000000,59.5638115216423
376,26.82,6.18,26.94,3.6,464000000,8.7370719918305,364000000,58.0493295352885
378,26.82,6.18,27.06,3.2,452000000,10.290726097765,352000000,62.551481960382
379,26.82,6.18,27.06,3.3,455000000,9.9704647936714,355000000,61.4908447429694
380,26.82,6.18,27.06,3.4,458000000,9.629022613216,358000000,60.454087728816
381,26.82,6.18,27.06,3.5,461000000,9.266136347586,361000000,59.438006191532
382,26.82,6.18,27.06,3.6,463000000,8.9124293705553,363000000,57.9641191110113
384,26.82,6.18,27.18,3.2,451000000,10.451433997482,351000000,62.414080840266
385,26.82,6.18,27.18,3.3,454000000,10.133321543648,354000000,61.366053601187
386,26.82,6.18,27.18,3.4,457000000,9.793197924371,357000000,60.339522143022
387,26.82,6.18,27.18,3.5,460000000,9.4304778919745,360000000,59.3311620501185
388,26.82,6.18,27.18,3.6,462000000,9.0852096848994,362000000,57.8941350872864
390,26.82,6.18,27.3,3.2,450000000,10.610979209465,350000000,62.2967681453
391,26.82,6.18,27.3,3.3,453000000,10.295060072307,353000000,61.260369550066
392,26.82,6.18,27.3,3.4,456000000,9.9562863998343,356000000,60.2431951663903
393,26.82,6.18,27.3,3.5,458000000,9.5939076700506,358000000,58.7697643051176
394,26.82,6.18,27.3,3.6,461000000,9.2553457483295,361000000,57.8379379507695
396,26.82,6.3,26.7,3.2,454000000,9.8742459966474,354000000,62.5384082633184
397,26.82,6.3,26.7,3.3,457000000,9.5545421287298,357000000,61.4605996963368
398,26.82,6.3,26.7,3.4,460000000,9.2162700270788,360000000,60.4120242387858
399,26.82,6.3,26.7,3.5,463000000,8.859984442417,363000000,59.389906316589
400,26.82,6.3,26.7,3.6,466000000,8.4877558371255,366000000,58.3934073521985
402,26.82,6.3,26.82,3.2,453000000,10.039202253817,353000000,62.361747593999
403,26.82,6.3,26.82,3.3,456000000,9.7224196736772,356000000,61.2995495880962
404,26.82,6.3,26.82,3.4,459000000,9.3861839683373,359000000,60.2638569525533
405,26.82,6.3,26.82,3.5,462000000,9.0305901115957,362000000,59.2516837399787
406,26.82,6.3,26.82,3.6,465000000,8.6570703398137,365000000,58.2617621597117
408,26.82,6.3,26.94,3.2,452000000,10.202069299225,352000000,62.208657849782
409,26.82,6.3,26.94,3.3,455000000,9.8881889363651,355000000,61.1606935837191
410,26.82,6.3,26.94,3.4,458000000,9.5540211080647,358000000,60.1367329120487
411,26.82,6.3,26.94,3.5,461000000,9.199260711015,361000000,59.133610637312
412,26.82,6.3,26.94,3.6,464000000,8.82478042195,364000000,58.149685702319
414,26.82,6.3,27.06,3.2,451000000,10.362974930357,351000000,62.076866921278
415,26.82,6.3,27.06,3.3,454000000,10.052021575556,354000000,61.041991154952
416,26.82,6.3,27.06,3.4,457000000,9.7199680003357,357000000,60.0287858885897
417,26.82,6.3,27.06,3.5,460000000,9.3661628307719,360000000,59.0339369344369
418,26.82,6.3,27.06,3.6,463000000,8.9909930701292,363000000,58.0554850357022
420,26.82,6.3,27.18,3.2,450000000,10.521972962394,350000000,61.964363210554
421,26.82,6.3,27.18,3.3,453000000,10.214040799896,353000000,60.941654978432
422,26.82,6.3,27.18,3.4,456000000,9.8841873528331,356000000,59.9384003078451
423,26.82,6.3,27.18,3.5,459000000,9.5314626582948,359000000,58.9511640506558
424,26.82,6.3,27.18,3.6,462000000,9.1558366035202,362000000,57.9777215252442
426,26.82,6.3,27.3,3.2,449000000,10.679014959231,349000000,61.869307988604
427,26.82,6.3,27.3,3.3,452000000,10.374297824009,352000000,60.858074964486
428,26.82,6.3,27.3,3.4,455000000,10.046798774859,355000000,59.86414519867
429,26.82,6.3,27.3,3.5,458000000,9.6953105274264,358000000,58.8839872496754
430,26.82,6.3,27.3,3.6,461000000,9.3194486482971,361000000,57.9151604128381
432,26.94,5.7,26.7,3.2,458000000,9.4269215457647,358000000,65.1094417625197
433,26.94,5.7,26.7,3.3,461000000,9.1003312881341,361000000,63.9129284672071
434,26.94,5.7,26.7,3.4,464000000,8.7574386861671,364000000,62.7630772587881
435,26.94,5.7,26.7,3.5,467000000,8.4012986413318,367000000,61.6575238031028
436,26.94,5.7,26.7,3.6,470000000,8.0372816719046,370000000,60.5970155333396
438,26.94,5.7,26.82,3.2,457000000,9.5985972171216,357000000,64.7753494011106
439,26.94,5.7,26.82,3.3,460000000,9.2741597623134,360000000,63.6039263007754
440,26.94,5.7,26.82,3.4,463000000,8.9319730616702,363000000,62.4744608491852
441,26.94,5.7,26.82,3.5,466000000,8.5743779531146,366000000,61.3843699160696
442,26.94,5.7,26.82,3.6,469000000,8.2058074597388,369000000,60.3338649835678
444,26.94,5.7,26.94,3.2,456000000,9.7682613686542,356000000,64.4799756819422
445,26.94,5.7,26.94,3.3,459000000,9.4460237339687,359000000,63.3309467394197
446,26.94,5.7,26.94,3.4,462000000,9.1047445229171,362000000,62.2197303263081
447,26.94,5.7,26.94,3.5,465000000,8.7461319140882,365000000,61.1435321258922
448,26.94,5.7,26.94,3.6,467000000,8.3789230882114,367000000,59.4347215207354
450,26.94,5.7,27.06,3.2,455000000,9.9361470313703,355000000,64.2188096774903
451,26.94,5.7,27.06,3.3,458000000,9.6161290060762,358000000,63.0899047284952
452,26.94,5.7,27.06,3.4,461000000,9.2759010162681,361000000,61.9951174153281
453,26.94,5.7,27.06,3.5,464000000,8.9166162402009,364000000,60.9314622065049
454,26.94,5.7,27.06,3.6,466000000,8.5599977435456,366000000,59.2759268493686
456,26.94,5.7,27.18,3.2,454000000,10.102484355685,354000000,63.988144313018
457,26.94,5.7,27.18,3.3,457000000,9.7846937942935,357000000,62.8774382705105
458,26.94,5.7,27.18,3.4,460000000,9.4456181195576,360000000,61.7975147962596
459,26.94,5.7,27.18,3.5,463000000,9.0859287251912,363000000,60.7452244813082
460,26.94,5.7,27.18,3.6,465000000,8.7393485406821,365000000,59.1387073145071
462,26.94,5.7,27.3,3.2,453000000,10.267488978172,353000000,63.784893737759
463,26.94,5.7,27.3,3.3,456000000,9.9519390852741,356000000,62.6907519863251
464,26.94,5.7,27.3,3.4,459000000,9.6140911446697,359000000,61.6243404357857
465,26.94,5.7,27.3,3.5,461000000,9.2589053082983,361000000,59.9887076200033
466,26.94,5.7,27.3,3.6,464000000,8.9169096014285,364000000,59.0209289954785
468,26.94,5.82,26.7,3.2,458000000,9.5300656103144,358000000,65.2208304511704
469,26.94,5.82,26.7,3.3,460000000,9.1983873891954,360000000,63.2025869908254
470,26.94,5.82,26.7,3.4,463000000,8.8594748539212,363000000,62.0852798619282
471,26.94,5.82,26.7,3.5,466000000,8.5058796618546,366000000,61.0069283119106
472,26.94,5.82,26.7,3.6,469000000,8.1420842772384,369000000,59.9679272493704
474,26.94,5.82,26.82,3.2,456000000,9.6917843869365,356000000,64.0752215731755
475,26.94,5.82,26.82,3.3,459000000,9.3725815026603,359000000,62.9389154139623
476,26.94,5.82,26.82,3.4,462000000,9.0350467387279,362000000,61.8398873490159
477,26.94,5.82,26.82,3.5,465000000,8.6808972179046,365000000,60.7755052580556
478,26.94,5.82,26.82,3.6,468000000,8.3137506680956,368000000,59.7456350398796
480,26.94,5.82,26.94,3.2,455000000,9.8611669800132,355000000,63.8229491561382
481,26.94,5.82,26.94,3.3,458000000,9.5446584865878,358000000,62.7067555413048
482,26.94,5.82,26.94,3.4,461000000,9.2086583805463,361000000,61.6242155717743
483,26.94,5.82,26.94,3.5,464000000,8.8543133568888,364000000,60.5724800845138
484,26.94,5.82,26.94,3.6,467000000,8.4844648443013,367000000,59.5509299767583
486,26.94,5.82,27.06,3.2,454000000,10.028605916596,354000000,63.600691114443
487,26.94,5.82,27.06,3.3,457000000,9.7148147775265,357000000,62.5027187405205
488,26.94,5.82,27.06,3.4,460000000,9.3804674394436,360000000,61.4351342992066
489,26.94,5.82,27.06,3.5,463000000,9.0262121401988,363000000,60.3948983181548
490,26.94,5.82,27.06,3.6,466000000,8.654201121894,366000000,59.380958303576
492,26.94,5.82,27.18,3.2,453000000,10.194286358045,353000000,63.405327003645
493,26.94,5.82,27.18,3.3,456000000,9.8832446081245,356000000,62.3239784769255
494,26.94,5.82,27.18,3.4,459000000,9.5506468429492,359000000,61.2700345304812
495,26.94,5.82,27.18,3.5,462000000,9.1967096747989,362000000,60.2402957474259
496,26.94,5.82,27.18,3.6,464000000,8.8273902350886,364000000,58.6707291801736
498,26.94,5.82,27.3,3.2,452000000,10.358358179066,352000000,63.234208620387
499,26.94,5.82,27.3,3.3,455000000,10.050127174875,355000000,62.168146090797
500,26.94,5.82,27.3,3.4,458000000,9.7193742414756,358000000,61.1267202966026
501,26.94,5.82,27.3,3.5,461000000,9.3659457028387,361000000,60.1066033776827
502,26.94,5.82,27.3,3.6,463000000,9.0044338455355,363000000,58.5770805499575
504,26.94,5.94,26.7,3.2,457000000,9.6372835879969,357000000,64.4871896963269
505,26.94,5.94,26.7,3.3,460000000,9.2951932092449,360000000,63.3086960955129
506,26.94,5.94,26.7,3.4,462000000,8.9534202257488,362000000,61.4641353440318
507,26.94,5.94,26.7,3.5,465000000,8.6038496274913,365000000,60.4111823541633
508,26.94,5.94,26.7,3.6,468000000,8.242106240998,368000000,59.392681795975
510,26.94,5.94,26.82,3.2,456000000,9.7992548370123,356000000,64.1917782816483
511,26.94,5.94,26.82,3.3,458000000,9.4614076685393,358000000,62.3278620619013
512,26.94,5.94,26.82,3.4,461000000,9.1297498025082,361000000,61.2571287152242
513,26.94,5.94,26.82,3.5,464000000,8.7805254741503,364000000,60.2170279714193
514,26.94,5.94,26.82,3.6,467000000,8.41660323525,367000000,59.207072353061
516,26.94,5.94,26.94,3.2,455000000,9.9599566219992,355000000,63.9310002787592
517,26.94,5.94,26.94,3.3,457000000,9.6333126198827,357000000,62.1318458499547
518,26.94,5.94,26.94,3.4,460000000,9.3038698281418,360000000,61.0762625185028
519,26.94,5.94,26.94,3.5,463000000,8.955297004594,363000000,60.047898250155
520,26.94,5.94,26.94,3.6,466000000,8.5897548639813,366000000,59.0458068193133
522,26.94,5.94,27.06,3.2,454000000,10.119734176104,354000000,63.701259010581
523,26.94,5.94,27.06,3.3,456000000,9.8030327500195,356000000,61.9606071032905
524,26.94,5.94,27.06,3.4,459000000,9.4759256486475,359000000,60.9188957282845
525,26.94,5.94,27.06,3.5,462000000,9.1282578512515,362000000,59.9013020107915
526,26.94,5.94,27.06,3.6,465000000,8.7615650674348,365000000,58.9064753925588
528,26.94,5.94,27.18,3.2,453000000,10.278939647125,353000000,63.499600954864
529,26.94,5.94,27.18,3.3,455000000,9.9707085741865,355000000,61.8117145177855
530,26.94,5.94,27.18,3.4,458000000,9.6460613823373,358000000,60.7827947438793
531,26.94,5.94,27.18,3.5,461000000,9.2995200335066,361000000,59.7751383533646
532,26.94,5.94,27.18,3.6,464000000,8.9320740002538,364000000,58.7870458958468
534,26.94,5.94,27.3,3.2,452000000,10.437922396614,352000000,63.323577330882
535,26.94,5.94,27.3,3.3,454000000,10.136442073759,354000000,61.683065907953
536,26.94,5.94,27.3,3.4,457000000,9.814405850813,357000000,60.666043748599
537,26.94,5.94,27.3,3.5,460000000,9.4692025717261,360000000,59.6676178311031
538,26.94,5.94,27.3,3.6,463000000,9.1013493566477,363000000,58.6857942929157
540,26.94,6.06,26.7,3.2,456000000,9.7382933246394,356000000,63.8203505269984
541,26.94,6.06,26.7,3.3,459000000,9.4011258069848,359000000,62.6754435544788
542,26.94,6.06,26.7,3.4,462000000,9.0456868734691,362000000,61.5667222319531
543,26.94,6.06,26.7,3.5,464000000,8.6926960793466,364000000,59.8614445872156
544,26.94,6.06,26.7,3.6,467000000,8.3348398137821,367000000,58.8628762452251
546,26.94,6.06,26.82,3.2,455000000,9.9012906212169,355000000,63.5686260942079
547,26.94,6.06,26.82,3.3,458000000,9.5655590671828,358000000,62.4421338972928
548,26.94,6.06,26.82,3.4,460000000,9.2133386341622,360000000,60.7173147373982
