,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
213,1.7,27.3,6.3,1.3,393000000,15.151236701862,293000000,103.323779423301
214,1.7,27.3,6.3,1.4,396000000,14.99805355113,296000000,97.812397269627
216,1.82,26.7,5.7,1,392000000,13.929517085251,292000000,89.164126804751
217,1.82,26.7,5.7,1.1,395000000,13.827443460717,295000000,92.703825649648
218,1.82,26.7,5.7,1.2,399000000,13.735547576126,299000000,93.150937641767
219,1.82,26.7,5.7,1.3,402000000,13.63050514448,302000000,97.771968747892
220,1.82,26.7,5.7,1.4,405000000,13.508508831971,305000000,103.758560232517
222,1.82,26.7,5.82,1,391000000,14.08512342764,291000000,92.358690671232
223,1.82,26.7,5.82,1.1,394000000,13.973890121852,294000000,96.597685485395
224,1.82,26.7,5.82,1.2,398000000,13.875086816259,298000000,97.297178134715
225,1.82,26.7,5.82,1.3,401000000,13.764583395701,301000000,103.10891003521
226,1.82,26.7,5.82,1.4,404000000,13.63693068413,304000000,110.257109348455
228,1.82,26.7,5.94,1,390000000,14.237719112865,290000000,96.00360709701
229,1.82,26.7,5.94,1.1,393000000,14.116272344091,293000000,101.225317971741
230,1.82,26.7,5.94,1.2,397000000,14.014712651685,297000000,102.290133612551
231,1.82,26.7,5.94,1.3,400000000,13.898016393582,300000000,109.550010948879
232,1.82,26.7,5.94,1.4,403000000,13.763951056969,303000000,114.724219493649
234,1.82,26.7,6.06,1,389000000,14.387173828175,289000000,100.275167090072
235,1.82,26.7,6.06,1.1,393000000,14.256980455918,293000000,101.361465507182
236,1.82,26.7,6.06,1.2,396000000,14.154689027455,296000000,108.426183582907
237,1.82,26.7,6.06,1.3,399000000,14.030794324764,299000000,115.296523919254
238,1.82,26.7,6.06,1.4,402000000,13.889296128305,302000000,115.234055478665
240,1.82,26.7,6.18,1,388000000,14.532918103692,288000000,105.449204738019
241,1.82,26.7,6.18,1.1,392000000,14.405178166915,292000000,107.047275319258
242,1.82,26.7,6.18,1.2,395000000,14.294918131791,295000000,115.066027626571
243,1.82,26.7,6.18,1.3,398000000,14.162489110147,298000000,116.922959930627
244,1.82,26.7,6.18,1.4,401000000,14.012222469768,301000000,111.668725544434
246,1.82,26.7,6.3,1,387000000,14.673812988575,287000000,111.855252138958
247,1.82,26.7,6.3,1.1,391000000,14.554752225022,291000000,113.866647554942
248,1.82,26.7,6.3,1.2,394000000,14.434822919257,294000000,118.289659782647
249,1.82,26.7,6.3,1.3,397000000,14.292126486401,297000000,114.649891251221
250,1.82,26.7,6.3,1.4,400000000,14.131381804339,300000000,106.192159677052
252,1.82,26.82,5.7,1,391000000,14.08110632595,291000000,91.372112521455
253,1.82,26.82,5.7,1.1,395000000,13.984935471626,295000000,91.779730959319
254,1.82,26.82,5.7,1.2,398000000,13.893139344054,298000000,95.892047152571
255,1.82,26.82,5.7,1.3,401000000,13.78228848343,301000000,101.163375723777
256,1.82,26.82,5.7,1.4,404000000,13.655589595686,304000000,108.064379715777
258,1.82,26.82,5.82,1,390000000,14.237817260327,290000000,94.839615057189
259,1.82,26.82,5.82,1.1,394000000,14.132322465907,294000000,95.459742094873
260,1.82,26.82,5.82,1.2,397000000,14.034953562398,297000000,100.522815375701
261,1.82,26.82,5.82,1.3,400000000,13.918184051888,300000000,107.248583691381
262,1.82,26.82,5.82,1.4,403000000,13.785436459621,303000000,114.836493068321
264,1.82,26.82,5.94,1,389000000,14.391092604378,289000000,98.855020517092
265,1.82,26.82,5.94,1.1,393000000,14.28048996271,293000000,99.781527894007
266,1.82,26.82,5.94,1.2,396000000,14.17680454787,296000000,106.206846632932
267,1.82,26.82,5.94,1.3,399000000,14.053322181297,299000000,114.340082149537
268,1.82,26.82,5.94,1.4,402000000,13.913714290432,302000000,117.408302164922
270,1.82,26.82,6.06,1,388000000,14.540580356134,288000000,103.650868472744
271,1.82,26.82,6.06,1.1,392000000,14.429866394701,292000000,105.026573675885
272,1.82,26.82,6.06,1.2,395000000,14.318817755321,295000000,113.180271440039
