,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
19,5.7,1.7,27.06,2.3,432000000.0,12.683286386747,332000000.0,86.460670212794,407000000.0,18.6866937487745
20,5.7,1.7,27.06,2.4,435000000.0,12.421697213557,335000000.0,83.74070249478,410000000.0,18.5552525716531
21,5.7,1.7,27.06,2.5,437000000.0,12.156601377633,337000000.0,79.629124190589,412000000.0,19.1112664488083
22,5.7,1.7,27.06,2.6,440000000.0,11.893433345627,340000000.0,77.642385564514,415000000.0,18.9620417690256
24,5.7,1.7,27.18,2.2,428000000.0,13.102914046394,328000000.0,88.180173651013,403000000.0,19.2551067487279
25,5.7,1.7,27.18,2.3,431000000.0,12.850294314673,331000000.0,85.280749332325,406000000.0,19.1422203202587
26,5.7,1.7,27.18,2.4,434000000.0,12.587148379494,334000000.0,82.733694405694,409000000.0,19.0082351407059
27,5.7,1.7,27.18,2.5,436000000.0,12.314658917005,336000000.0,78.88352988829601,411000000.0,19.5630653279431
28,5.7,1.7,27.18,2.6,439000000.0,12.053486724765,339000000.0,76.98517733358099,414000000.0,19.414145039515798
30,5.7,1.7,27.3,2.2,427000000.0,13.273593724863,327000000.0,86.973619421424,402000000.0,19.7258611742013
31,5.7,1.7,27.3,2.3,430000000.0,13.019230078513,330000000.0,84.26182495273301,405000000.0,19.6106857203895
32,5.7,1.7,27.3,2.4,433000000.0,12.754544186208,333000000.0,81.857745670953,408000000.0,19.4742455882497
33,5.7,1.7,27.3,2.5,436000000.0,12.478371694109,336000000.0,79.692670669689,411000000.0,19.3155012364772
34,5.7,1.7,27.3,2.6,438000000.0,12.212606472162,338000000.0,76.403123974521,413000000.0,19.8761678855758
36,5.7,1.82,26.7,2.2,431000000.0,12.308039244144,331000000.0,91.300334256025,406000000.0,17.0806422709218
37,5.7,1.82,26.7,2.3,434000000.0,12.078063550701,334000000.0,87.671356022076,409000000.0,16.9989293409495
38,5.7,1.82,26.7,2.4,437000000.0,11.836808923988,337000000.0,84.59509757417,412000000.0,16.8965925803059
39,5.7,1.82,26.7,2.5,440000000.0,11.583476393332,340000000.0,81.923776809662,415000000.0,16.773060413755
40,5.7,1.82,26.7,2.6,442000000.0,11.321733849829,342000000.0,77.796990999279,417000000.0,17.320327345036098
42,5.7,1.82,26.82,2.2,430000000.0,12.461646718839,330000000.0,89.322641514422,405000000.0,17.4965768978865
43,5.7,1.82,26.82,2.3,433000000.0,12.231046043647,333000000.0,86.05840205519999,408000000.0,17.4136342961438
44,5.7,1.82,26.82,2.4,436000000.0,11.989496557676,336000000.0,83.24643040656201,411000000.0,17.3099686963671
45,5.7,1.82,26.82,2.5,439000000.0,11.736128300991,339000000.0,80.77244938574499,414000000.0,17.18490779006
46,5.7,1.82,26.82,2.6,441000000.0,11.478522418353,341000000.0,76.95808337391999,416000000.0,17.7435787323787
48,5.7,1.82,26.94,2.2,429000000.0,12.616590134822,329000000.0,87.693278069547,404000000.0,17.9259853535737
49,5.7,1.82,26.94,2.3,432000000.0,12.385223692768,332000000.0,84.708575696334,407000000.0,17.8417336979058
50,5.7,1.82,26.94,2.4,435000000.0,12.143207319854,335000000.0,82.103008712667,410000000.0,17.736644014400397
51,5.7,1.82,26.94,2.5,438000000.0,11.889597810408,338000000.0,79.786214645517,413000000.0,17.6099429041685
52,5.7,1.82,26.94,2.6,440000000.0,11.63447871558,340000000.0,76.227388341307,415000000.0,18.1780008583084
54,5.7,1.82,27.06,2.2,428000000.0,12.773115174,328000000.0,86.324886918993,403000000.0,18.3687756565974
55,5.7,1.82,27.06,2.3,431000000.0,12.5408852317,331000000.0,83.560048590262,406000000.0,18.2831711860322
56,5.7,1.82,27.06,2.4,434000000.0,12.298268938156,334000000.0,81.120195767922,409000000.0,18.176594079729
57,5.7,1.82,27.06,2.5,437000000.0,12.044246334454,337000000.0,78.931814359239,412000000.0,18.0481681485371
58,5.7,1.82,27.06,2.6,439000000.0,11.789742240574,339000000.0,75.58586645576901,414000000.0,18.6233717302623
60,5.7,1.82,27.18,2.2,427000000.0,12.931417709877,327000000.0,85.15678468418899,402000000.0,18.8247958983723
