,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
62,3.7,5.82,27.18,1.2,396000000.0,13.268349005249,296000000.0,100.62670316571999,371000000.0,17.2573886533385
63,3.7,5.82,27.18,1.3,399000000.0,13.160719827898,299000000.0,107.389918973444,374000000.0,17.402633875775997
64,3.7,5.82,27.18,1.4,402000000.0,13.041844214792,302000000.0,115.12680411033199,377000000.0,17.5289460588913
66,3.7,5.82,27.3,1.0,389000000.0,13.584292221337,289000000.0,94.16770135824599,364000000.0,17.336186864429898
67,3.7,5.82,27.3,1.1,392000000.0,13.500816965308,292000000.0,98.756592720171,367000000.0,17.5224555406474
68,3.7,5.82,27.3,1.2,395000000.0,13.401759995331,295000000.0,104.823506629411,370000000.0,17.686815164044802
69,3.7,5.82,27.3,1.3,398000000.0,13.290084002615,298000000.0,112.49435829733301,373000000.0,17.8313313273809
70,3.7,5.82,27.3,1.4,401000000.0,13.168233281819,301000000.0,116.008797867929,376000000.0,17.9576529979486
72,3.7,5.94,26.7,1.0,392000000.0,12.983076233433,292000000.0,88.592700829171,367000000.0,16.3696001252969
73,3.7,5.94,26.7,1.1,396000000.0,12.92799230807,296000000.0,88.950520850418,371000000.0,15.960927350517599
74,3.7,5.94,26.7,1.2,399000000.0,12.851381577811,299000000.0,92.646164721063,374000000.0,16.1408082672338
75,3.7,5.94,26.7,1.3,402000000.0,12.756256098336,302000000.0,97.279530255604,377000000.0,16.2961161812241
76,3.7,5.94,26.7,1.4,405000000.0,12.645608714883,305000000.0,103.280055311722,380000000.0,16.429061963914698
78,3.7,5.94,26.82,1.0,392000000.0,13.132994093401,292000000.0,87.884440357396,367000000.0,16.1551423278529
79,3.7,5.94,26.82,1.1,395000000.0,13.071322590446,295000000.0,91.24288068990501,370000000.0,16.3591748373894
80,3.7,5.94,26.82,1.2,398000000.0,12.98889318313,298000000.0,95.366687515148,373000000.0,16.5369565284757
81,3.7,5.94,26.82,1.3,401000000.0,12.88907236203,301000000.0,100.65130520330001,376000000.0,16.6909666765707
82,3.7,5.94,26.82,1.4,404000000.0,12.774795308424,304000000.0,107.56714831169701,379000000.0,16.8233544291892
84,3.7,5.94,26.94,1.0,391000000.0,13.283226933172,291000000.0,90.04966533261201,366000000.0,16.568709511029
85,3.7,5.94,26.94,1.1,394000000.0,13.21451987611,294000000.0,93.776388079379,369000000.0,16.7697187635416
86,3.7,5.94,26.94,1.2,397000000.0,13.126243506299,297000000.0,98.45761791930501,372000000.0,16.945341624424998
87,3.7,5.94,26.94,1.3,400000000.0,13.021726390003,300000000.0,104.612922790719,375000000.0,17.0980172377393
88,3.7,5.94,26.94,1.4,403000000.0,12.903836103979,303000000.0,112.56215304001401,378000000.0,17.229825091985
90,3.7,5.94,27.06,1.0,390000000.0,13.433126705979,290000000.0,92.423230120629,365000000.0,16.994181048661098
91,3.7,5.94,27.06,1.1,393000000.0,13.357339907158,293000000.0,96.62705194491801,368000000.0,17.192079029105
92,3.7,5.94,27.06,1.2,396000000.0,13.263212849493,296000000.0,102.060021223678,371000000.0,17.3654900332599
93,3.7,5.94,27.06,1.3,399000000.0,13.154023973118,299000000.0,109.364933940512,374000000.0,17.516802920584702
94,3.7,5.94,27.06,1.4,402000000.0,13.032563438654,302000000.0,117.256240966124,377000000.0,17.6480198334904
96,3.7,5.94,27.18,1.0,389000000.0,13.582310832587,289000000.0,95.067299146789,364000000.0,17.4309316158601
97,3.7,5.94,27.18,1.1,392000000.0,13.499423484048,292000000.0,99.91222414328199,367000000.0,17.6256360443929
98,3.7,5.94,27.18,1.2,395000000.0,13.399466740848,295000000.0,106.380523964112,370000000.0,17.7967903240821
